id,summary,column_name,title,cover,published_at,extraction_tags,favourite_num
5158836,计划与智能秤、智能设备相连接。,消费,上线4月冲到iPad健康排行榜第一，「运动解剖」想做健身爱好者的AR版“工具书”,https://pic.36krcnd.com/201810/29120753/usademgfl8ck40nv!heading,2018-10-31T08:43:45+08:00,"[[""体育"",1],[""教育"",1],[""医疗健康"",1],[""消费"",1],[""健身"",2],[""医疗"",2],[""安卓"",2],[""大众"",2]]",0
5159708,唯一不变的，就是贵！,大公司,苹果发布 iPad Pro 等三款新品，外媒和网友评论：有惊喜也有不满,https://pic.36krcnd.com/201810/31003750/qj9cqy63z6ei360n!heading,2018-10-31T08:42:29+08:00,"[[""大公司"",1],[""媒体"",1],[""文娱"",1],[""苹果"",2],[""社交媒体"",2],[""微软"",2],[""音乐"",2],[""电影"",2]]",0
5159306,适用于肺癌、乳腺癌、宫颈癌等患病率高的癌症。,医疗健康,36氪首发 | 做瞄准千亿级癌症治疗市场的“生物导弹”ADC，「诺灵生物」完成5000万元A轮融资,https://pic.36krcnd.com/201810/29082625/ub82e4dp8vjpq2j5!heading,2018-10-31T08:41:49+08:00,"[[""投资"",1],[""市场"",1],[""医疗健康"",1],[""智能健康"",2]]",0
5159562,“五环外”人群或许才是最大的增量市场,社交,“五环外”的社交产品长什么样？或许可以来「聊得得」找找答案,https://pic.36krcnd.com/201810/30145702/gcddped62lgag77a!heading,2018-10-31T08:36:08+08:00,"[[""社交"",1],[""游戏"",1],[""大公司"",1],[""文娱"",1],[""腾讯"",2],[""微信"",2],[""安卓"",2],[""成都"",2],[""社区"",2]]",0
5159705,阿里“传承计划”后，张勇首发股东信。,人物,张勇发表2018年致股东信：阿里巴巴的最终目标是从世界卖向世界,https://pic.36krcnd.com/201810/31003043/y6c2jgcb8etdh1pt!heading,2018-10-31T08:35:22+08:00,,0
22522,小伙伴们，你们好！这里是极客视界，今天给大家带来联想 S5 Pro 的开箱上手。我手上的这一台是金色的版本，可以看到，底部的 type-c 接口和 3.5mm 耳机孔都得到了保留。同时也是采用了一个背部指纹识别的设计。,科技·氪视频,联想S5 Pro开箱，前后2000万AI四摄，售价1298起,https://pic.36krcnd.com/201810/30105903/6ndcseee3alwi76q!heading,2018-10-31T08:31:07+08:00,"[[""智能手机"",2],[""联想"",2],[""安卓"",2]]",0
5159694,相比爱奇艺常年巨亏且没有收窄趋势令短线投资者却步，看好爱奇艺的长线投资者则会注意到其多元化业务的良好走势。,娱乐,业绩快报｜爱奇艺Q3净亏损扩大近3倍，盘后股价大跌13%,https://pic.36krcnd.com/201810/30205402/z5p2w789xlm2p3ft!heading,2018-10-31T08:30:52+08:00,"[[""大公司"",1],[""金融"",1],[""市场"",1],[""爱奇艺"",2],[""百度"",2],[""财报"",2]]",0
5159380,场景不同，方案也不同。,消费,无人货柜在景区卖文创品能跑通吗？「易贩云」说这是一个低频高价的生意,https://pic.36krcnd.com/201810/30133615/cpq2vdu4maze45b9!heading,2018-10-31T08:30:04+08:00,"[[""旅游"",1],[""消费"",1],[""零售"",2],[""文化"",2]]",0
5159702,VR行业显然已经暂时作别几年前的新鲜感，而逐渐迎来了冷却期。,手机与硬件,VR影视热潮褪去，IMAX关闭第三家VR中心,https://pic.36krcnd.com/201810/31001034/tyeobk6g0wtw50vb!heading,2018-10-31T08:11:59+08:00,"[[""投资"",1],[""金融"",1],[""大公司"",1],[""证券"",2],[""谷歌"",2],[""财报"",2],[""电影"",2],[""艺术"",2]]",0
5159635,酒店业的升级换代正在进行中。,大公司,阿里开设首家实体酒店，机器人引路、刷脸开门,https://pic.36krcnd.com/201810/30115741/g9g1mwqeh9jc86hm!heading,2018-10-31T08:10:28+08:00,"[[""人工智能"",1],[""大公司"",1],[""商业地产"",1],[""机器人"",2],[""人脸识别"",2],[""阿里巴巴"",2],[""微信"",2],[""酒店"",2]]",0
5159701,Canalys公司还强调称，在今年第三季度，印度本地手机商Micromax挤进了前五名，销量是它在第二季度的5倍。,手机与硬件,第三季度小米智能手机在印度销量同比增长30%，苹果还在挣扎,https://pic.36krcnd.com/201810/31000715/aibqd1427ywioybr!heading,2018-10-31T08:09:05+08:00,"[[""消费"",1],[""大公司"",1],[""投资"",1],[""智能手机"",2],[""苹果"",2],[""vivo"",2],[""三星"",2],[""印度"",2]]",0
22497,10月26日，iPhone XR在国内正式开售。作为今年发布的三款新iPhone中最便宜的一款，iPhone XR被很多人寄予厚望，今天，小雷整理出了十个大家比较关心的问题，并通过快速上手来一一解答。,科技·氪视频,苹果XR上手：新iPhone性价比之王，真值得入手？,https://pic.36krcnd.com/201810/30103119/r8o6ta7rtu7zind5!heading,2018-10-31T08:01:08+08:00,"[[""大公司"",1],[""企业服务"",1],[""前沿科技"",1],[""人工智能"",1],[""智能硬件"",1],[""智能手机"",2],[""苹果"",2],[""硬件"",2]]",0
5159568,用Zara模式迭代产品。,消费,36氪首发 | 烘焙品牌「四喜卵蜜」获近千万元天使轮融资，每年只卖一款蛋糕,https://pic.36krcnd.com/201810/30102410/a3begu77tms4rmbz!heading,2018-10-31T08:01:04+08:00,"[[""投资机构"",1],[""投资"",1],[""城市"",1],[""辰海资本"",2],[""上海"",2],[""北京"",2]]",0
5159595,“她经济”在全球的规模已经达到 18 万亿美金，成为世界上规模最大的经济体，超过中国与印度经济规模的总和。2020 年，亚洲“她经济”规模预计达到 8 万亿美金。,金融,从“励媖中国”到“她经济”投资，「泰迦基金」瞄准亚洲女性消费缺口,https://pic.36krcnd.com/201810/30113849/xs4crdu16yjtvmb2!heading,2018-10-31T08:00:05+08:00,"[[""投资"",1],[""医疗健康"",1],[""金融"",1],[""银行"",2],[""金融科技"",2],[""孵化器"",2],[""消费升级"",2],[""招聘"",2]]",0
5159649,10月29日，《华尔街日报》援引知情人士称，美国华平投资集团不久前退出了链家20亿美元融资计划，搁置了向其投资5亿美元的想法,36氪每日商业精选,深度资讯 | 链家130亿美元估值吓跑华平资本，中国科技公司失去C位光环,https://pic.36krcnd.com/201810/30103655/dviwghbin2skedsw!heading,2018-10-31T08:00:05+08:00,,0
5158706,移动应用开发者出海热，获量与变现成难题。,企业服务,解决获量困境与提高变现能力，「Enjoy出海」想做移动开发者出海的服务平台,https://pic.36krcnd.com/201810/30032813/tammp3vt9m9k922i!heading,2018-10-31T08:00:04+08:00,"[[""出海"",1],[""游戏"",1],[""开发者 工具"",2]]",0
5159456,挖掘澳大利亚和新西兰本地的高质量品牌，80%厂家直供，可以实现小包裹内置物详情溯源。,消费,36氪首发 |「魔法灯」获数千万元A轮融资，从澳新市场切入做进口S2B2C平台,https://pic.36krcnd.com/201810/30144007/zsgiurwfy7am9w2y!heading,2018-10-31T07:59:04+08:00,"[[""电商"",1],[""消费"",1],[""仓储"",2],[""跨境海淘"",2]]",0
5159474,去年营收过十亿，营收连续三年 100% 增长。,消费,36氪首发 | 「盘子女人坊」获近亿元 C 轮融资，想依托中国风产业链做“东方迪士尼”,https://pic.36krcnd.com/201810/30134024/08ezdtm2vy3kkl9e!heading,2018-10-31T07:58:05+08:00,"[[""大公司"",1],[""电商"",1],[""文娱"",1],[""爱奇艺"",2],[""文化"",2],[""艺术"",2]]",0
5159700,金庸笔下的文学帝国为不少人构建了精神家园，也为他本人带来了巨额财富。,内容,文豪金庸的财富版图,https://pic.36krcnd.com/201810/30235307/c6kuyfxbx4ohwn1d!heading,2018-10-31T07:54:02+08:00,"[[""大公司"",1],[""文娱"",1],[""工业4.0"",1],[""阿里巴巴"",2],[""影视"",2],[""印刷"",2],[""香港"",2],[""电影"",2]]",0
5158969,在荒野里寻求自我实现和个性化体验。,消费,「行走荒野」：一群创业者联合成立的项目，只做创业者的徒步旅行,https://pic.36krcnd.com/201810/30134211/alwll0pz6p8ywgpv!heading,2018-10-31T07:53:04+08:00,,0
